,x1,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,y
0,20000.0,24,0.0,0.0,0.0,0.0,0.0,2.0,15110.0,16548.0,17443.0,16216.0,18027.0,12364.0,2000.0,1500.0,1500.0,2000.0,0.0,1000.0,0
1,120000.0,37,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,3014.0,380.0,380.0,380.0,380.0,380.0,760.0,380.0,380.0,380.0,380.0,530.0,0
2,30000.0,41,0.0,0.0,0.0,0.0,0.0,0.0,26480.0,27529.0,28783.0,28312.0,28159.0,28870.0,1481.0,1735.0,994.0,2003.0,1180.0,1238.0,0
3,390000.0,39,0.0,0.0,-1.0,-1.0,-1.0,-1.0,42721.0,22836.0,24266.0,6088.0,2500.0,828.0,12041.0,24353.0,6118.0,2550.0,828.0,0.0,0
4,500000.0,30,0.0,0.0,0.0,0.0,0.0,0.0,135634.0,135796.0,133712.0,136069.0,67837.0,69514.0,5034.0,6000.0,5355.0,3500.0,2513.0,5000.0,0
5,50000.0,26,0.0,0.0,0.0,0.0,0.0,0.0,38189.0,28440.0,23228.0,21482.0,18029.0,18705.0,3000.0,1436.0,1162.0,2184.0,871.0,500.0,0
6,30000.0,22,0.0,0.0,0.0,0.0,0.0,0.0,30136.0,20741.0,21906.0,23183.0,13273.0,3027.0,1335.0,1500.0,1700.0,750.0,200.0,200.0,0
7,90000.0,48,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6224.0,8150.0,0.0,0.0,9167.0,0.0,8150.0,0.0,0.0,9167.0,0.0,526.0,0
8,30000.0,34,0.0,0.0,0.0,0.0,0.0,0.0,26774.0,28014.0,29248.0,29254.0,19837.0,14793.0,2000.0,1694.0,1200.0,8697.0,2000.0,1000.0,0
9,500000.0,51,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,8864.0,1462.0,18653.0,45391.0,1460.0,580.0,1462.0,18661.0,45402.0,1460.0,580.0,1588.0,0
10,30000.0,43,0.0,0.0,0.0,0.0,0.0,0.0,26828.0,25352.0,26553.0,26554.0,18869.0,12359.0,1588.0,1789.0,790.0,471.0,352.0,121.0,0
11,190000.0,29,-1.0,-1.0,-1.0,-1.0,0.0,0.0,4460.0,5531.0,20867.0,12895.0,9968.0,9968.0,5537.0,20879.0,12895.0,0.0,0.0,0.0,0
12,20000.0,37,0.0,0.0,0.0,0.0,0.0,0.0,20009.0,20602.0,21255.0,19105.0,19609.0,19283.0,1700.0,1600.0,1200.0,1000.0,900.0,1000.0,0
13,210000.0,32,0.0,0.0,0.0,0.0,0.0,0.0,46255.0,50486.0,54019.0,58091.0,61630.0,65576.0,5000.0,5000.0,5000.0,4500.0,5000.0,5000.0,0
14,130000.0,27,0.0,0.0,0.0,0.0,0.0,0.0,124769.0,127966.0,119008.0,46659.0,47588.0,47698.0,5400.0,3941.0,1742.0,1671.0,1712.0,1730.0,0
15,310000.0,36,0.0,0.0,0.0,0.0,0.0,0.0,67940.0,45746.0,46979.0,42045.0,40334.0,49542.0,2000.0,2000.0,2000.0,2000.0,13000.0,2000.0,0
16,150000.0,31,0.0,0.0,0.0,0.0,0.0,0.0,126419.0,128887.0,134208.0,139551.0,134321.0,104513.0,7000.0,12440.0,10000.0,5000.0,5000.0,10000.0,0
